"county","MEDIAN_AGE","POVERTY_RATE","MEDIAN_HOUSEHOLD_INCOME","PCT_NO_HEALTHCARE","PCT_WITH_A_DISABILITY","PCT_SNAP_ASSISTANCE","AHOLD.DELHAIZE.USA.INC","ALBERTSONS.CO.INC","COSTCO.WHOLESALE.CORP","DOLLAR.GENERAL.CORP","DOLLAR.TREE.INC","KROGER.CO","LONE.STAR.FUNDS","MEIJER.INC","PUBLIX.SUPER.MARKETS.INC","TARGET.CORP","TRADER.JOE.S","WAKEFERN.FOOD.CORP.INC","WALMART.INC","WEGMANS.FOOD.MARKETS.INC","TOTAL_POPULATION"
" Swain County",40.875,0.185528514031619,48849.75,0.197065016689641,0.193843453149927,0.138323512330411,0.7104,NA,NA,0.0307666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14166
" Sweet Grass County",45.4,0.0518983884184649,59238,0.070189701897019,0.140714480501773,0.0359971202303816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3690
" Sweetwater County",37.5384615384615,0.111043034686821,78590.3846153846,0.140385847146471,0.168107463281094,0.0690975556236813,NA,0.0899,NA,NA,0.0281,0.6924,NA,NA,NA,NA,NA,NA,0.3144,NA,42459
" Swift County",43.85,0.122032795532674,60491,0.0566581082917173,0.152007393968176,0.10381839847879,NA,NA,NA,0.11965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9810
" Swisher County",38.7,0.202393515268899,42430.6666666667,0.167975197767198,0.158539576880025,0.0839691819690496,NA,0.7198,NA,0.0948,0.0145,NA,NA,NA,NA,NA,NA,NA,0.1627,NA,7055
" Switzerland County",41.4,0.205628896815049,59636.3333333333,0.130121375931174,0.200861855891527,0.127357760863642,NA,NA,NA,0.3261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9870
" Talbot County",51.2615384615385,0.100295373020753,74323.8461538462,0.0680268687302018,0.205329425848927,0.124417439130086,0.0569428571428571,0.146155555555556,NA,0.153125,0.0150428571428571,0.0913333333333333,NA,NA,NA,0.2054,NA,NA,0.36805,NA,43347
" Taliaferro County",47.1,0.213468869123253,39670,0.120711562897078,0.339478703115067,0.262809917355372,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574
" Talladega County",41.4958333333333,0.201911115943532,45981,0.0950624308145222,0.308055405792675,0.179563394391996,NA,NA,NA,0.139033333333333,0.0282434782608696,NA,0.22565,NA,0.26638,0.07945,NA,NA,0.480009090909091,NA,81850
" Tallahatchie County",35,0.310253326742303,29757.75,0.14124186808835,0.223877861070718,0.314725654882571,NA,NA,NA,0.460033333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12917
" Tallapoosa County",43.0416666666667,0.167053805977549,51022,0.0879487898880221,0.259501841569748,0.188897209982529,NA,NA,NA,0.145933333333333,0.0259111111111111,NA,0.0624166666666667,NA,0.4884,NA,NA,NA,0.559472727272727,NA,41284
" Tama County",42.2666666666667,0.123656610845962,60644,0.0725000613859671,0.101507764603378,0.0985757821471675,NA,NA,NA,0.0749666666666667,0.0321,NA,NA,NA,NA,NA,NA,NA,0.737,NA,17079
" Taney County",43.3944444444444,0.14442802844983,52159.2222222222,0.150115810503964,0.165348607651367,0.126443882298606,NA,NA,NA,0.0748235294117647,0.0335,NA,NA,NA,NA,0.09818,NA,NA,0.480616666666667,NA,55854
" Taos County",49.52,0.149822079372037,49173.5,0.0820784586288027,0.180512605409887,0.140453709768157,NA,0.30645,NA,0.00785,0.0134,0.2148,NA,NA,NA,NA,NA,NA,0.23275,NA,34322
" Tarrant County",35.6984682713348,0.120755486407428,79302.8857142857,0.171533988978362,0.121121737551893,0.117397174383237,NA,0.261707382550336,0.131005,0.0325664082687339,0.0262669376693767,0.207633450704225,NA,NA,NA,0.138283908045977,0.0316178571428571,NA,0.406585875706215,NA,2138331
" Tate County",40.5166666666667,0.141534295589217,53388.6666666667,0.117282982305991,0.171903833593071,0.111545684560683,NA,NA,NA,0.181883333333333,0.02814,NA,NA,NA,NA,NA,NA,NA,0.74806,NA,28123
" Tattnall County",39.4857142857143,0.203281715891068,50008.1428571429,0.139003882843272,0.221504291005852,0.162476327981313,0.452183333333333,NA,NA,0.459971428571429,0.07526,NA,NA,NA,NA,NA,NA,NA,NA,NA,23211
" Taylor County",38.0042253521127,0.166242655954766,57030.5428571429,0.120931419694211,0.188165436868213,0.153077866002226,NA,0.151408108108108,NA,0.0624742424242424,0.034735593220339,0.0395142857142857,0.228683333333333,NA,NA,0.0881096774193548,NA,NA,0.507178947368421,NA,239925
" Tazewell County",42.5372093023256,0.118768082083803,61956.2093023256,0.0545164835353671,0.15195773686518,0.115903010996313,0.155266666666667,NA,0.0913272727272727,0.0520761904761905,0.0249025641025641,0.213751724137931,NA,NA,NA,0.0792727272727273,NA,NA,0.482925,NA,172592
" Tehama County",41.4428571428571,0.196179675165112,56293.2142857143,0.0609282499884094,0.196388731786258,0.127398275834329,NA,0.237542857142857,NA,0.03348,0.0480333333333333,NA,NA,NA,NA,NA,NA,NA,0.165022222222222,NA,65345
" Telfair County",43.54,0.250532965558674,53611.8,0.107050714796025,0.220318354389512,0.239119604760031,NA,NA,NA,0.27168,0.068975,NA,0.39635,NA,NA,NA,NA,NA,NA,NA,12860
" Teller County",49.6875,0.0772270872815198,67024.5,0.0871854928931238,0.149975508900912,0.114607706879495,NA,0.2108,NA,NA,0.0254,0.511966666666667,NA,NA,NA,NA,NA,NA,0.1981,NA,24607
" Terrell County",44.4,0.215551954583308,44924.8,0.15604273501114,0.236361721716672,0.200069424560219,0.1394,NA,NA,0.226575,0.0215,NA,NA,NA,0.3552,0.19475,NA,NA,0.4925,NA,10081
" Terry County",33.5333333333333,0.234567130528391,48059.6666666667,0.215313686367398,0.15840772918951,0.176663503080104,NA,0.8385,NA,0.0415,0.0829,NA,NA,NA,NA,NA,NA,NA,NA,NA,11937
" Teton County",40.8647058823529,0.0983679251276859,84915.75,0.107663469608082,0.0750332386223849,0.0371929449252541,NA,0.356583333333333,NA,NA,0.0150666666666667,0.213233333333333,NA,NA,NA,NA,NA,NA,NA,NA,40982
" Texas County",39.1,0.219330840207763,44198.7857142857,0.174570097235009,0.183441261767825,0.112685039301306,NA,NA,NA,0.181723076923077,0.0492444444444444,NA,NA,NA,NA,NA,NA,NA,0.81464,NA,46314
" Thayer County",46.75,0.09362169733855,56810.5,0.0602443330495917,0.138202546255989,0.10262650472396,NA,NA,NA,0.10165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5053
" Thomas County",40.2529411764706,0.156590401876518,54554.8235294118,0.12265852286321,0.23368383286408,0.175139345745229,0.0835428571428571,NA,NA,0.0922058823529412,0.02244375,0.41105,NA,NA,0.1735,NA,NA,NA,0.49516875,NA,54133
" Throckmorton County",48.1,0.180224403927069,47500,0.225806451612903,0.159186535764376,0.105177993527508,NA,NA,NA,0.2578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2852
" Thurston County",39.6,0.0990214422958837,82925.2063492063,0.0532338638904577,0.140194185123162,0.124749364015767,NA,0.343069642857143,0.16817037037037,0.0882166666666667,0.0234795454545455,0.167621212121212,NA,NA,NA,0.09595,0.0806047619047619,NA,0.280948888888889,NA,297448
" Tift County",36.2166666666667,0.214264294990224,46268.5833333333,0.173385790621149,0.15246047986244,0.169195007912072,0.0852416666666667,NA,NA,0.0626916666666667,0.00786666666666667,NA,NA,NA,0.170508333333333,NA,NA,NA,0.590508333333333,NA,41148
" Tillamook County",49.54,0.129710483287322,57087,0.053738149947749,0.201313558800985,0.163810060613591,NA,0.29414,NA,0.2511,NA,0.6192,NA,NA,NA,NA,NA,NA,NA,NA,27129
" Tillman County",43.58,0.191020327995437,42440,0.12990318665289,0.265041092582186,0.206786996456367,NA,NA,NA,0.21618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7070
" Tioga County",44.0904761904762,0.109251587718568,60107.7142857143,0.048364103749346,0.16419133530478,0.137223904003085,NA,NA,NA,0.0831523809523809,0.0186857142857143,NA,NA,NA,NA,0.0738,NA,NA,0.50105,0.0535,89656
" Tippah County",39.4166666666667,0.21140865402348,44107.8333333333,0.130676802954777,0.255070721733404,0.135530864218713,NA,NA,NA,0.102283333333333,0.04016,NA,NA,NA,NA,NA,NA,NA,0.55036,NA,21877
" Tippecanoe County",30.84,0.253081727197088,53485.7391304348,0.0597641138387991,0.0996490403546727,0.068511149717539,NA,NA,NA,0.0395888888888889,0.0083258064516129,0.585356756756757,NA,0.182041666666667,NA,0.365324242424242,NA,NA,0.141839285714286,NA,227479
" Tipton County",41.0611111111111,0.122125087304147,61787.4444444444,0.0956986448375007,0.201027120870765,0.128543746473536,NA,NA,NA,0.1085,0.0235166666666667,0.0567071428571429,NA,0.4436,NA,0.0239,NA,NA,0.642561538461539,NA,76158
" Tishomingo County",45.2285714285714,0.214373068314205,41207.2857142857,0.141076269382223,0.246825197056256,0.127491049938171,NA,NA,NA,0.0878142857142857,0.0733857142857143,0.065,NA,NA,NA,NA,NA,NA,0.42765,NA,18945
" Titus County",34.4111111111111,0.18368410392851,54789.7777777778,0.184946818274321,0.151083206558422,0.187258916205781,NA,NA,NA,0.143711111111111,0.02165,NA,NA,NA,NA,NA,NA,NA,0.678425,NA,31327
" Todd County",39.6642857142857,0.216443768941296,53214.9285714286,0.15154110920202,0.135223566644413,0.148651449179737,NA,NA,NA,0.183941666666667,0.03232,0.018,NA,NA,NA,0.1314,NA,NA,0.70808,NA,46761
" Tolland County",40.2151515151515,0.119237294639259,92944.2580645161,0.0301365935888001,0.109608383591336,0.0659321683655806,0.371068,0.1462,0.12755,0.0218433333333333,0.024844,NA,NA,NA,NA,0.154766666666667,0.0557166666666667,0.0733352941176471,0.272984615384615,NA,155657
" Tom Green County",36.9807692307692,0.125537853801993,59507.7692307692,0.131717392845836,0.153595428166455,0.0980211199328762,NA,0.0114277777777778,NA,0.04806,0.0295625,NA,NA,NA,NA,0.0818555555555556,NA,NA,0.498452,NA,119048
" Tompkins County",34.6307692307692,0.198517227539023,64637.6363636364,0.0359177423076948,0.104672069219921,0.0929037884940078,NA,NA,NA,0.0145846153846154,0.01565,NA,NA,NA,NA,0.1194875,NA,NA,0.09608,0.663692307692308,105638
" Tooele County",31.56875,0.0529082293550889,85303.375,0.0891456156470001,0.107091222514999,0.0919515298008781,NA,NA,NA,NA,0.0293083333333333,NA,NA,NA,NA,NA,NA,NA,0.910430769230769,NA,71340
" Toole County",39.7666666666667,0.0857897217094075,60015,0.0914980261131494,0.15952713236729,0.078266046408595,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5013
" Toombs County",39.0444444444444,0.195399788259953,46608.7777777778,0.165741177901578,0.239380680155677,0.230855625738052,0.182766666666667,NA,NA,0.0587555555555556,0.0141111111111111,NA,NA,NA,NA,NA,NA,NA,0.544022222222222,NA,26956
" Torrance County",42.98,0.236995527215135,45007.5,0.0619079431465177,0.206305871155078,0.185710307094267,NA,NA,NA,0.0982,0.03175,0.03865,NA,NA,NA,NA,NA,NA,0.88585,NA,15150
" Towner County",50.2,0.148408239700375,51912,0.0949771689497717,0.174074074074074,0.0581632653061224,NA,NA,NA,0.5143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190
" Towns County",55.375,0.136191841031766,53004.75,0.14191071206183,0.171790556485085,0.0787722586246498,NA,NA,NA,0.11285,NA,NA,NA,NA,NA,NA,NA,NA,0.3215,NA,12300
" Traill County",42.35,0.0562062277563402,73898.75,0.0638481680046771,0.119519277831889,0.0445814164314736,NA,NA,NA,0.473575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8008
" Transylvania County",51.375,0.138611534032841,58000.1666666667,0.159828151639958,0.148318230457007,0.122124465360401,0.118942857142857,NA,NA,0.167066666666667,0.0244,NA,NA,NA,NA,NA,NA,NA,0.341383333333333,NA,32979
" Traverse County",45.1,0.0845262974166211,57492.5,0.027915469359779,0.153522306806513,0.134613246675503,NA,NA,NA,0.2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3362
" Travis County",36.2074829931973,0.13222579566295,92250.2817869416,0.12709947696709,0.10113212588761,0.0759923144116749,NA,0.107528431372549,0.0958170731707317,0.0867503597122302,0.0260801324503311,NA,NA,NA,NA,0.17908698630137,0.16026,NA,0.337212820512821,NA,1289437
" Treasure County",55.5,0.0952380952380952,55313,0.0375180375180375,0.178932178932179,0.0298507462686567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693
" Trego County",47.6,0.0763302752293578,78529,0.071858407079646,0.142961342086069,0.0437116564417178,NA,NA,NA,0.3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2825
